x,y,sensor
1.4999985334164654,-10.38929084596181,ds4
3.4749901555826233,-9.628443040949042,ds5
3.4750000002484684,-7.653451418782884,ds6
3.4750088833959496,-5.678441068803401,ds7
-0.22999216027935798,-5.904260911985526,ds1
-3.373969529432843,-7.634251522221449,ds2
-1.7877231262694986,-10.921973098447513,ds3
1.4999984499565655,-10.389290912581064,ds4
3.4749900624289323,-9.609243134693818,ds5
3.47500000024932,-7.634251522221451,ds6
3.475008976551945,-5.659240995626072,ds7
-0.22999207160183843,-5.885061188452112,ds1
-3.373976890543236,-7.615051625665055,ds2
-1.7877232746819534,-10.902773265958114,ds3
1.4999983656111047,-10.389290979200865,ds4
3.474989961518382,-9.590043221572333,ds5
3.4750000002555312,-7.615051625665057,ds6
3.4750090774755917,-5.64004091380057,ds7
-0.22999197991087472,-5.865861468809999,ds1
-3.373984251648147,-7.595851729109684,ds2
-1.7877234288150943,-10.88357343831359,ds3
1.499998280388811,-10.389291045820832,ds4
3.474989857172267,-9.570843305893142,ds5
3.475000000263963,-7.595851729109686,ds6
3.47500918183929,-5.620840827659208,ds7
1.4999981947081673,-6.428709548587975,ds0
0.3520416902125152,-6.428710007805269,ds1
-3.3739923506384883,-7.57666651230092,ds2
-1.7877235766782802,-10.864388283687369,ds3
1.4999981947081669,-10.39382061622376,ds4
3.474989757320527,-9.551658074913282,ds5
3.4750000096766485,-7.576666512300922,ds6
2.6479556098385224,-6.428709097170566,ds7
-0.22999199920719193,-5.827428038061062,ds1
-3.4249999901807344,-7.557418159211493,ds2
-1.7877233482303383,-10.845139629385072,ds3
1.4999981219432394,-10.389295090943383,ds4
3.474989882540724,-9.532409919808979,ds5
3.4750000015291134,-7.557418159211495,ds6
3.475009159000879,-5.582407122153856,ds7
1.4999980591405175,-6.29936353999446,ds0
0.2610294408006406,-6.2993617811598215,ds1
-3.424999979649719,-7.5383303994996975,ds2
-1.7877231460537941,-10.826051604694008,ds3
1.499998059140517,-10.393379508277656,ds4
